date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:56	15032/15032	---M--	200	added ('OK')	image/gif	etag:%220ca72b76adce1:63c99%22	http://web365.vn/skin/product/may-anh-ky-thuat-so.gif	E:/Web/365/web365.vn/skin/product/may-anh-ky-thuat-so.gif	(from http://web365.vn/)
18:54:56	38187/38187	---M--	200	added ('OK')	image/png	etag:%22024fc50177fce1:63c99%22	http://web365.vn/skin/product/traxanh.png	E:/Web/365/web365.vn/skin/product/traxanh.png	(from http://web365.vn/)
18:54:56	15032/15032	---M--	200	added ('OK')	image/gif	etag:%2203a133375adce1:63c99%22	http://web365.vn/skin/product/my-pham-han-quoc.gif	E:/Web/365/web365.vn/skin/product/my-pham-han-quoc.gif	(from http://web365.vn/)
18:54:58	18365/18365	---M--	200	added ('OK')	image/gif	etag:%220d4c08175adce1:63c99%22	http://web365.vn/skin/product/Shop-phu-kien-thoi-trang.gif	E:/Web/365/web365.vn/skin/product/Shop-phu-kien-thoi-trang.gif	(from http://web365.vn/)
18:54:58	15569/15569	---M--	200	added ('OK')	image/gif	etag:%2203dfc4f76adce1:63c99%22	http://web365.vn/skin/product/nha-sach.gif	E:/Web/365/web365.vn/skin/product/nha-sach.gif	(from http://web365.vn/)
18:55:00	19369/19369	---M--	200	added ('OK')	image/gif	etag:%220ad75875adce1:63c99%22	http://web365.vn/skin/product/show-room-xe-may.gif	E:/Web/365/web365.vn/skin/product/show-room-xe-may.gif	(from http://web365.vn/)
18:55:00	19085/19085	---M--	200	added ('OK')	image/gif	etag:%220d3ebd74adce1:63c99%22	http://web365.vn/skin/product/web-spa.gif	E:/Web/365/web365.vn/skin/product/web-spa.gif	(from http://web365.vn/)
18:55:01	18958/18958	---M--	200	added ('OK')	image/gif	etag:%22041af687cc3ce1:63c99%22	http://web365.vn/skin/product1/company2.gif	E:/Web/365/web365.vn/skin/product1/company2.gif	(from http://web365.vn/)
18:55:02	20628/20628	---M--	200	added ('OK')	image/gif	etag:%22041af687cc3ce1:63c99%22	http://web365.vn/skin/product1/company3.gif	E:/Web/365/web365.vn/skin/product1/company3.gif	(from http://web365.vn/)
18:55:03	18932/18932	---M--	200	added ('OK')	image/gif	etag:%22041af687cc3ce1:63c99%22	http://web365.vn/skin/product1/company4.gif	E:/Web/365/web365.vn/skin/product1/company4.gif	(from http://web365.vn/)
